text,start_char,end_char
delete directory project_old/build_new1delete project_old/build_new1 directory,17,39
please go to project/src_v1,13,27
please die to logs1,14,19
off folder data_backup,11,22
go to pictures,6,14
create videos,7,13
make backup,5,11
go to backup/data,6,17
run to data_v21/logs,7,20
lead me to nllilj_v11,11,21
make believe project/yozg,13,25
delete directory picturesdelete pictures directory,17,25
croak to src3,9,13
switch to data_new5,10,19
please delete directory src_backup/tmp,24,38
make build1,5,11
open downloads,5,14
cd cache_new,3,12
rm videos,3,9
remove directory cache_v25/cache3,17,33
create a new folder name logs,25,29
realize cache/project_old directory,8,25
remove directory tmp_v2,17,23
could you open src/backup_backup2,15,33
navigate to videos,12,18
get rid of leaflet backup,19,25
make folder tmhm,12,16
switch to pqzk_new,10,18
make data,5,9
switch to home,10,14
go to cnuv4,6,11
rm data,3,7
establish directory documents,20,29
create downloads directory,7,16
create a new leaflet named home,27,31
create pictures,7,15
induce project_new/tmp5,7,23
extend to desktop,10,17
remove directory downloads,17,26
take pine tree state to src1,24,28
remove folder cache1,14,20
create videos,7,13
create pictures directory,7,15
prepare booklet videos,16,22
make folder documents,12,21
delete downloads,7,16
cd pictures,3,11
remove folder build_backup1,14,27
make directory backup_new,15,25
single want to motility to data,27,31
out folder desktop,11,18
delete project/lr_v2,7,20
please create directory build,24,29
please go to logs_v1,13,20
unresolved pgmax,11,16
rm project,3,10
delete directory wqcmbdelete wqcmb directory,17,22
please create directory tmp_v1,24,30
create a new leaflet named cache_new,27,36
create directory tt/cache4,17,26
make cache_v1 directory,5,13
make logs,5,9
expire to home,10,14
could you open tifofj,15,21
create a unexampled folder named desktop,33,40
proceed to pictures,11,19
low to project,7,14
create folder logs,14,18
create a new pamphlet named home,28,32
make directory desktop,15,22
please delete directory build_new3/data1,24,40
plump to backup2,9,16
mkdir backup2,6,13
create a new folder key out data2,28,33
delete pictures,7,15
cd documents,3,12
please delete directory build,24,29
create directory build/data_new,17,31
could you candid videos,17,23
delete folder downloads,14,23
delete directory srcdelete src directory,17,20
make build_v22/data_new directory,5,23
puddle logs/build_old directory,7,21
please go to pictures,13,21
make directory cache_backup/sh2,15,31
please delete directory build5/tmp_v1,24,37
rm build,3,8
take a crap directory build_backup3,22,35
please create directory backup_new,24,34
rm logs_v1,3,10
throw logs_backup/data,6,22
navigate to tmp_new,12,19
delete folder data_backup,14,25
open home,5,9
delete tmp_new/project,7,22
make tmp3 directory,5,9
please create directory tmp1/backup,24,35
mkdir videos,6,12
please delete directory home,24,28
delete folder yrnvcwv2/src2,14,27
make folder orjwgjz3,12,20
go to tmp2,6,10
delete folder ftoxap/build,14,26
delete directory cache/gcsfglb_backupdelete / gcsfglb_backup directory,17,37
create pamphlet tmp_backup,16,26
make pictures directory,5,13
please create directory gfsefvpa/build,24,38
delete home,7,11
overt documents,6,15
could you open tmp,15,18
please create directory src_v2,24,30
create tmp directory,7,10
score brochure tmp,15,18
make pictures,5,13
remove directory src,17,20
create home,7,11
make folder downloads,12,21
cd logs4/data3,3,14
make gfpscs5 directory,5,12
get directory videos,14,20
delete folder backup,14,20
make tmp/project,5,16
pee pee build,8,13
could you unfastened data,21,25
establish directory downloads,20,29
delete project_new,7,18
switch to pictures,10,18
please delete directory tmp,24,27
delete directory videosdelete videos directory,17,23
please delete directory nguqkr1,24,31
mkdir documents,6,15
create directory backup2,17,24
atomic number tmp,14,17
delete directory backup/tmpdelete backup / tmp directory,17,27
create brochure documents,16,25
open tmp_backup/logs,5,20
please delete directory backup1,24,31
could you open logs_new2/cache,15,30
mkdir logs,6,10
remove directory videos,17,23
make tmp directory,5,8
remove leaflet desktop,15,22
make documents directory,5,14
navigate to tmp,12,15
create directory src,17,20
open backup_v11,5,15
rm build_old/backup_new1,3,24
delete data_backup3,7,19
make folder pictures,12,20
remove directory videos,17,23
go to downloads,6,15
i want to move to videos,18,24
create tmp/xgpnxbh directory,7,18
create folder downloads,14,23
cd desktop,3,10
delete directory project_new/tmp5delete project_new/tmp5 directory,17,33
switch to videos,10,16
delete folder project,14,21
transfer directory data_backup/tmp_v2,19,37
create backup_v1 directory,7,16
cd data_backup,3,14
create data directory,7,11
navigate to src/project5,12,24
remove directory build/build_old1,17,33
open hav_old3/logs,5,18
please go to tmp_new,13,20
create backup,7,13
remove folder pictures,14,22
create documents directory,7,16
please delete directory documents,24,33
make src/tmp3,5,13
shift to project1,9,17
make folder build_backup1/tmp_old,12,33
rm cache_old/build4,3,19
could you open videos,15,21
please go to desktop,13,20
create data_v2/backup,7,21
delete pamphlet pictures,16,24
remove directory data/src4,17,26
make videos,5,11
get to videos,7,13
make directory home,15,19
make el_old,5,11
remove folder project,14,21
involve maine to downloads,17,26
create directory tmp_old/nbcwt,17,30
heart to heart build/src_backup,15,31
switch to home,10,14
make home,5,9
substitution to data_v2,16,23
could you open documents,15,24
make cache1 directory,5,11
could you open videos,15,21
please create directory tmp2,24,28
cd videos,3,9
delete directory backupdelete backup directory,17,23
rm data4/src5,3,13
please croak to project,16,23
please delete directory desktop,24,31
switch to backup2,10,17
create folder tmp4,14,18
open backup_old/backup,5,22
create folder project_v1,14,24
delete desktop,7,14
delete folder videos,14,20
delete directory videosdelete videos directory,17,23
delete folder backup_v11,14,24
make folder videos,12,18
create folder src_old,14,21
make home directory,5,9
make pictures directory,5,13
please delete directory videos,24,30
delete folder home,14,18
rm home,3,7
delete directory cachedelete cache directory,17,22
could you candid home,17,21
remove directory rgzn_new,17,25
go to desktop,6,13
delete desktop,7,14
take me to data,11,15
make videos,5,11
create src/data directory,7,15
make directory kxzl_v2,15,22
i want to motility to downloads,22,31
please delete directory data,24,28
i want to move to tmp,18,21
create booklet sbhfq_v1/tmp,15,27
please conk to src1,15,19
create downloads,7,16
compact disk tmp_new4/rrehelhk3,13,31
delete directory builddelete build directory,17,22
please delete directory desktop,24,31
create folder nzlv3,14,19
navigate to data_v1/tmp,12,23
establish cache directory,10,15
bump off directory build5/data_old2,19,35
delete directory projectdelete labor directory,17,24
create folder home,14,18
give up the ghost to data_v1,21,28
mkdir data4,6,11
create desktop directory,7,14
please create directory iauul_new,24,33
please create directory build/tmp2,24,34
please create directory backup,24,30
rm project3/src,3,15
rm tmp,3,6
rm logs/tmp_backup,3,18
delete logs,7,11
give tmub_old1/fplbjt,5,21
create downloads,7,16
make directory home,15,19
switch to videos,10,16
create documents directory,7,16
open build/build4,5,17
delete pictures,7,15
atomic number 53 privation to move to documents,38,47
create directory qzpglr_old,17,27
create a newfangled folder named tmp,33,36
navigate to project_v23/backup,12,30
please go to tmp/bcts_backup,13,28
create a new folder named cache4/backup,26,39
please create directory project/project,24,39
please create directory pictures,24,32
name cache_old/tmp directory,5,18
please create directory src/logs,24,32
open pictures,5,13
navigate to logs_old,12,20
create directory amgyqclg,17,25
create a new folder named downloads,26,35
please create directory build1/data_v12,24,39
create folder data_v21,14,22
rm src4,3,7
make project4 directory,5,13
create directory tmp,17,20
create az/project directory,7,17
create build_v21/project_v2 directory,7,27
remove pine tree state to data_new1,26,35
please create directory cache_v23,24,33
delete directory projectdelete project directory,17,24
create build,7,12
rm data,3,7
switch to backup3,10,17
exact tree state to build4,20,26
create pictures directory,7,15
create build/project_v1,7,23
please create directory backup_old,24,34
make booklet backup2,13,20
make pamphlet desktop,14,21
make documents directory,5,14
create directory home,17,21
create src/build_v1,7,19
go to build/logs_v2,6,19
make directory iklz_old3,15,24
delete directory homedelete place directory,17,21
single want to move to ehfge_old,23,32
permutation to cache_v2,15,23
create logs directory,7,11
create leaflet logs/data,15,24
delete directory cachedelete cache directory,17,22
create src_new4,7,15
please delete directory pictures,24,32
navigate to home,12,16
accept me to tmp_old2/cache,13,27
delete data/backup2,7,19
cd src4/logs,3,12
switch to home,10,14
create downloads directory,7,16
contract me to build,15,20
please go to home,13,17
create project_v1 directory,7,17
create backup,7,13
take me to uqzuuy3/data5,11,24
i need to move to pictures,18,26
take maine to cache,14,19
create directory project/tmp_backup,17,35
make desktop directory,5,12
please delete directory build,24,29
open rx/src,5,11
remove pamphlet backup/tmp_v2,16,29
make folder backup5/data,12,24
create cache/project4 directory,7,21
could you open tmp/project_new4,15,31
take a shit folder tmp1,19,23
open backup4/build_v1,5,21
delete directory build4delete build4 directory,17,23
go to project_new3/tmp_backup2,6,30
do tmp_backup,3,13
could you opened documents,17,26
make directory home,15,19
open desktop,5,12
please fail to desktop,15,22
mkdir na/logs_v2,6,16
please live to backup5,15,22
remove folder documents,14,23
i want to move to fokksaym/lvhmay,18,33
delete directory src_v2delete src_v2 directory,17,23
delete build5,7,13
create folder project1,14,22
go to build,6,11
make directory tmp/tmp_v2,15,25
hire pine state to videos,19,25
rm src2/tmp,3,11
rm build_v1,3,11
create a new folder named home,26,30
create leaflet videos,15,21
delete directory data_newdelete data_new directory,17,25
delete pamphlet logs4/project,16,29
please move to lz/logs,15,22
mkdir data/build,6,16
open desktop,5,12
make pictures directory,5,13
navigate to tmp3,12,16
lease me to build_new,12,21
take away folder data_new,17,25
create directory gbodcbue_v1,17,28
make up folder project4/data5,15,29
create folder documents,14,23
remove directory dphsx/backup2,17,30
make pictures directory,5,13
please locomote to cache,19,24
remove folder pictures,14,22
switch to home,10,14
navigate to desktop,12,19
create directory videos,17,23
delete directory hqojzl1delete hqojzl1 directory,17,24
could you unresolved cache3,21,27
attain cache_v1 directory,7,15
please go to home,13,17
open project4/logs,5,18
create dgnt_new4 directory,7,16
take me to project_old/backup,11,29
open pictures,5,13
delete home,7,11
clear folder data,13,17
dispatch directory logs_v2,19,26
rm documents,3,12
please go to data_v22,13,21
create directory documents,17,26
make folder desktop,12,19
replacement to backup5,15,22
could you open videos,15,21
open tmp/data_backup,5,20
cause folder project1,13,21
create cache4 directory,7,13
cd documents,3,12
create project_backup,7,21
delete directory downloadsdelete downloads directory,17,26
i wish to move to desktop,18,25
could you open videos,15,21
i need to move to cache3,18,24
create brochure documents,16,25
please delete directory tmp,24,27
remove folder documents,14,23
please conk to videos,15,21
please create directory pictures,24,32
mkdir videos,6,12
rm desktop,3,10
remove directory cache_v1,17,25
delete build_v2/build_backup,7,28
create a new folder name logs1,25,30
make cache/logs_v1 directory,5,18
please depart to build,17,22
create directory logs/project_backup,17,36
make tmp,5,8
create directory build,17,22
shoot me to tmp/src_backup1,12,27
create a new folder make project,25,32
delete build_backup,7,19
open project_v13/project_old,5,28
please go to src_new2,13,21
navigate to pictures,12,20
i privation to move to src5,23,27
i want to move to documents,18,27
go to build,6,11
please delete directory data,24,28
create directory project_v1/project2,17,36
delete directory logs_v23/data_v1delete logs_v23/data_v1 directory,17,33
make directory desktop,15,22
delete pictures,7,15
lead to alnhx_old2/data,8,23
pick out pine tree state to data_new/tmp3,28,41
delete directory tmpdelete tmp directory,17,20
delete directory backupdelete backup directory,17,23
remove directory logs,17,21
rm logs1,3,8
switch to logs,10,14
create logs directory,7,11
navigate to videos,12,18
contain me to tmp_old2/cache,14,28
switch to project2/backup_new,10,29
make desktop directory,5,12
go to videos,6,12
could you open documents,15,24
switch to tmp_backup5,10,21
please go to downloads,13,22
make tmp_old/cache1 directory,5,19
make folder build_v2,12,20
make downloads,5,14
delete cache_backup/src,7,23
create tmp,7,10
polish off folder logs_new,18,26
create data5 directory,7,12
create cache_old/cache_backup5,7,30
create data,7,11
certificate of build,15,20
transposition to project4/cache3,17,32
please delete directory pictures,24,32
create folder downloads,14,23
delete directory documentsdelete documents directory,17,26
create ardunn_new3 directory,7,18
create folder videos,14,20
please create directory documents,24,33
i privation to move to src,23,26
create leaflet logs_new/src_v2,15,30
delete directory picturesdelete image directory,17,25
navigate to cache_old,12,21
open downloads,5,14
iodine want to move to downloads,23,32
create src_new,7,14
i deficiency to move to project_v14,24,35
mkdir data,6,10
please go to downloads,13,22
delete folder project3,14,22
please create directory backup3,24,31
please go to data_backup/cache_old4,13,35
create backup_new,7,17
switch to home,10,14
take me to videos,11,17
please delete directory desktop,24,31
navigate to documents,12,21
create directory downloads,17,26
could you open videos,15,21
cd tmp/data3,3,12
open videos,5,11
please create directory project,24,31
remove folder documents,14,23
iodine want to move to documents,23,32
hold me to videos,11,17
delete folder pictures,14,22
claim me to oz,12,14
throw directory data2,16,21
in data,3,7
please create directory src1/cache2,24,35
make folder hsf/build,12,21
take me to backup_new3,11,22
switch to src_new,10,17
create cache_old,7,16
open documents,5,14
realise folder downloads,15,24
please create directory documents,24,33
mkdir dtsonuwr_old/project,6,26
please create directory videos,24,30
spend a penny kr_v24,14,20
please delete directory videos,24,30
make cache_backup/project_old2,5,30
cd gxc1/build,3,13
open backup_v24,5,15
please create directory fjxnqdgj/backup4,24,40
create folder project_v1,14,24
please delete directory videos,24,30
remove directory home,17,21
rm desktop,3,10
cook directory backup4,15,22
make directory data/logs,15,24
delete directory data/logsdelete / logs directory,17,26
mkdir backup,6,12
make documents,5,14
delete folder project/project,14,29
go to build_v1,6,14
take me to data/build_backup,11,28
please go to pictures,13,21
go to src1/tmp_v1,6,17
murder folder tmp,14,17
delete folder src,14,17
slay directory documents,15,24
create booklet src,15,18
create directory documents,17,26
i want to motility to pictures,22,30
remove directory data/cache_new,17,31
remove folder home,14,18
open logs_backup,5,16
make logs/logs_v2,5,17
could you open tmp/logs1,15,24
navigate to pictures,12,20
mkdir logs_v2,6,13
please create directory project,24,31
cd backup_backup,3,16
cd home,3,7
i want to motion to src_old5,20,28
create project5/project,7,23
please create directory logs/project,24,36
please delete directory tmp,24,27
delete tmp1,7,11
delete brochure cache,16,21
rm tmp_old,3,10
shit directory logs,15,19
go to home,6,10
create wggm,7,11
defecate booklet project,17,24
open cache_new,5,14
make src,5,8
create backup directory,7,13
delete directory cache1delete cache1 directory,17,23
fill me to project_v14,11,22
please create directory documents,24,33
please delete directory home,24,28
please pass to documents,15,24
make build/src3,5,15
make directory pictures,15,23
direct me to pictures,13,21
please become to videos,17,23
move to backup_new,8,18
i want to motion to project,20,27
switch to videos,10,16
switch to data1/rjvh,10,20
remove folder data_v15/cache2,14,29
please create directory src,24,27
take me to tmp4,11,15
delete directory tmp_v1/datadelete tmp_v1 / data directory,17,28
please go to backup_v15,13,23
create folder downloads,14,23
please create directory project,24,31
delete folder project1/tmp,14,26
delete documents,7,16
atomic number 48 desktop,17,24
please create directory documents,24,33
make directory downloads,15,24
mkdir documents,6,15
make pictures,5,13
create directory backup,17,23
delete directory backup_v25delete backup_v25 directory,17,27
cash in one's chips to backup_v2/project_v2,23,43
delete backup/logs,7,18
create a new folder named data/data,26,35
remove directory src_old4,17,25
open build3,5,11
atomic number 48 pfzqae_v2/project,17,34
create videos directory,7,13
delete directory desktopdelete desktop directory,17,24
create a new folder named oa_v23,26,32
make directory qwzfol,15,21
create logs_backup5/cannwsbo directory,7,28
make data,5,9
delete src4,7,11
candela tmp_v25,8,15
create folder backup,14,20
replacement to documents,15,24
create data/backup5 directory,7,19
make folder kpeigm/project,12,26
take me to pictures,11,19
please delete directory home,24,28
create data/logs_new1,7,21
rm pictures,3,11
make folder cache,12,17
remove directory cache3/backup3,17,31
navigate to src,12,15
create folder backup/src,14,24
create directory project5,17,25
rm documents,3,12
rm backup2,3,10
make directory mexwhqy_v13/alauwho_v2,15,37
take me to build/cache,11,22
i deprivation to move to src/backup_v2,25,38
rm uuipufa,3,10
take me to pictures,11,19
create booklet build_v2,15,23
rm backup,3,9
give tmp directory,5,8
create backup/project5,7,22
could you open src,15,18
please create directory src,24,27
rm tmp,3,6
navigate to logs,12,16
please move to pictures,15,23
compact disc build/backup_v1,13,28
make home,5,9
make src_v1 directory,5,11
atomic number 48 videos,17,23
switch to desktop,10,17
create pictures directory,7,15
take me to backup_v1/xptqkir,11,28
could you open home,15,19
could you open pictures,15,23
hit booklet videos,12,18
make brochure src_backup/logs_new,14,33
make folder src_backup,12,22
blend in to src_new4/backup,12,27
create a newfangled folder named tmp_v1/project,33,47
please go to pictures,13,21
please create directory tmp_new,24,31
create a new folder named backup_backup,26,39
create folder build_old1,14,24
create a modern folder named olmkuvhz_v22,29,41
make booklet home,13,17
create ddpd/cache4,7,18
please create directory tmp1,24,28
make project_new/logs_v24 directory,5,25
could you undefended project_backup4,21,36
go to logs,6,10
create src/data directory,7,15
shift to data_old,9,17
please delete directory home,24,28
create downloads,7,16
create directory project_v1,17,27
make directory documents,15,24
delete booklet src/src,15,22
mkdir project,6,13
single want to move to downloads,23,32
remove folder xc/data,14,21
open data,5,9
create home,7,11
please hold up to logs_old/cache,18,32
dispatch directory pqow,19,23
create folder videos,14,20
make downloads,5,14
switch to documents,10,19
make directory videos,15,21
mkdir src,6,9
create zfb/tmp,7,14
create desktop,7,14
make pictures directory,5,13
create brochure cache/logs2,16,27
create a unexampled folder mention project_new,35,46
create folder build,14,19
navigate to home,12,16
delete backup5,7,14
delete logs1,7,12
mkdir tmp_old,6,13
create leaflet videos,15,21
create a new folder named project/project,26,41
cd build_old1/project,3,21
i want to move to logs2,18,23
make src,5,8
create a fresh folder named dsvvovec5,28,37
delete brochure tmp_old,16,23
please delete directory cache,24,29
create logs,7,11
make data_old/src directory,5,17
please go to downloads,13,22
mkdir data,6,10
