text,start_char,end_char
move file gfmxuq.py into rftqf,10,19
cp cjzc_3.json vnmy_backup,3,14
transfer jdacsvcz_19.csv to zqm,9,24
move file hzmisftz_45.csv into nso3,10,25
cp chyr.txt ctusms,3,11
move gnazw_98.txt to cwr,5,17
motion file pebzae_92.log into anqe,12,25
transfer cpvttg_53.md to nec_logs,9,21
written matter dzz_14.txt to evnuixc,15,25
copy file phethki.txt into xrpav5,10,21
move jkzuhgyh.csv to eeeecdgu,5,17
copy file dqpuutg.txt into yiywkla,10,21
transference xonmi.txt to omjgn,13,22
move gtyyht.py to twidgz_src,5,14
move filing cabinet pqgnxpn.py into vzwjjwlq_logs1,20,30
transfer fcjhnyx_44.csv to jayj_logs,9,23
move dmyamjtd.py to hjq_backup,5,16
cp rbg_58.txt dit_src,3,13
mv vplwu_40.log ouczmr,3,15
md shih.json aomauogw,3,12
mv yiqvzncg_66.log crc,3,18
move file qzh_66.txt into kqg_data3,10,20
cp qwi.log ecdvxm,3,10
move file xxc.md into rec4,10,16
move xrhfn_4.txt to oopdbky2,5,16
move file rgd_31.json into eqnfdw,10,21
transfer qgr.log to dxlu_data4,9,16
move single file ydnymdf.json into jeipopkq,17,29
mv cgdvxtk_68.txt sjgtta,3,17
cp ikod.txt szytj4,3,11
written matter bxyfx.json to pqc2,15,25
cp tnlzfuf_24.py hkca,3,16
transcript kdslm.csv to uuokohe_src,11,20
transcript aylcbsxl_69.json to hgsya5,11,27
mv nzlofba_90.py ebzzvyd_data,3,16
move altfkc_29.txt to driku,5,18
cp ync.csv qtkvbvqx5,3,10
mv tfitglnt_63.txt mbgk,3,18
motion file zwiv.pdf into ztyu,12,20
movement filing cabinet czndth_32.csv into xdbt,24,37
relocate jtclfv.md nether cvh_data,9,18
written file mejp.txt into qpvpiu,13,21
mv lksjjjfi.csv lhfey_logs4,3,15
mv ahtqhid_7.md afymsti_backup,3,15
relocate qxgeiag.md under bqbyrsl_data,9,19
relocate bcdcadak.txt nether zjoayxnz,9,21
move hxrde.json to iujjre,5,15
written matter gbnqb_31.pdf to zik_data,15,27
relocate ybplqb.json under ojqqnf_logs5,9,20
relocate nchoumr_85.md under jmw_logs,9,22
mv mciavk_91.py gkvvmm,3,15
copy psdgjdkh_45.log to gnxdfvz,5,20
cp lzvfb.py ica,3,11
move file iochxg.pdf into ujf3,10,20
cp tch_4.csv tbarh_src5,3,12
mv gbekyasw_27.csv aafldd_backup,3,18
relocate cicd.txt nether rjwt_logs5,9,17
mv lkhvbd.md uyvdfj4,3,12
relocate gfi_17.py nether rhjq,9,18
transcript file yaxi.csv into vqijua_backup,16,24
copy data file qjniziu.pdf into dsjrizh,15,26
relocate danlfb_3.txt under doez_src,9,21
transfer xccyhye.txt to omvmaoks1,9,20
move olqigqsv_81.json to wbf,5,21
relocate xmkhoquf_61.txt nether sdbyvhr_logs1,9,24
transfer bxwwnzzm.py to slqk_backup,9,20
cp svcouom.md txcnw5,3,13
mv hiiyqkl.txt mab,3,14
transcript djetq.log to harn_data,11,20
relocate dqsjyukz_10.pdf nether vsvm_logs,9,24
cp nnonx.pdf aoaqb4,3,12
cp kkwaz.md pao,3,11
cp sdijti.json wkr,3,14
relocate neg_77.md under owapgs_logs,9,18
mv zomoaen.md hjgcyx_src,3,13
move file qfncp.pdf into uncuegk_src,10,19
cp vqr.json jbcefxv,3,11
relocate lapesa.txt nether chktq,9,19
copy qqtkowb.py to ruujilm,5,15
move ldkvh.csv to ffv,5,14
mendelevium ioupnt.txt umaa_data,12,22
transfer genic_4.md to zoy_logs,9,19
move uomvba_63.json to pvtew_data5,5,19
copy mhwwmumw_72.pdf to fkkqa,5,20
cp ygkiaz_23.py vgfvd,3,15
movement gwz.json to ycvblxwd,9,17
relocate mlcungb_88.txt under wmfvvq_backup,9,23
copy single file wsrvckxx.csv into kou_src,17,29
relocate ucdfqaol.log under dluera,9,21
cp mqpu_68.csv yeg_logs5,3,14
written matter nfqe_7.md to ehcqw,15,24
cp ifovbym_61.py yks_backup,3,16
transfer tacuil.txt to loksm1,9,19
cp ljihe_7.py jon,3,13
copy file jmp.py into avbr,10,16
move file nhfkod_37.csv into gqgdcr,10,23
md rekyr_96.csv pnw,3,15
copy ejfwbz_41.csv to twibk,5,18
cp zbavjcly_55.json ovd_src,3,19
written matter file hbldhnk.py into ntjjexb,20,30
relocate vrvhvtsy_51.csv nether dtz_data4,9,24
written matter file hpajjp_83.json into aal3,20,34
motility file wruxhgps.csv into vtd,14,26
transfer ysgrr_74.md to xpx_backup,9,20
mv jdaqck_73.py oxpojuya1,3,15
copy file gxyubk_90.pdf into qvr_data2,10,23
transcript file jmforn_90.json into htlww1,16,30
transcript file vwdavems.csv into ukfo,16,28
cp zisus.json sfujl5,3,13
move qmlrrhlj_13.json to zhxp_data3,5,21
mv pzjmxsp_95.json hggadadc_src,3,18
relocate tfcb.log under bsgqfcbn_logs,9,17
transfer rergve.md to eyly_src,9,18
copy ghlfilcb_88.md to juiqqkxw,5,19
relocate wmhe.txt under yqgs,9,17
relocate bkxzfgen.log under drosxh1,9,21
relocate uema.pdf under ojh,9,17
move lropjc.json to yijwgg_data,5,16
copy wxotsv.txt to ouneaac_src5,5,15
relocate drxvmg_29.txt nether hotr1,9,22
relocation hsiqxep_2.json to uuxpybcl,11,25
copy file rsls.txt into qvt_logs3,10,18
written matter file cabinet oaqtvxz_99.json into lzzong,28,43
cp ynnzqr_31.txt ywowhyx3,3,16
cp amxc.txt xmzfwg_data3,3,11
copy lie_49.txt to svi,5,15
relocate oecb.md nether kylr_data,9,16
move file atxwjrl_52.pdf into rruky_src,10,24
md sqehex.txt oikwdsr,3,13
copy mwplpp_84.log to qmlo_src,5,18
mv vfliei.log sgqgncx_src,3,13
cp jezcugm_71.json irjshb_src3,3,18
transfer ymso_82.md to vrgxvaaa,9,19
cp aid.json xnp_src5,3,11
move data file mllxkpa_34.csv into rdgeudf_logs,15,29
transferee flo.log to alnk,11,18
movement yjagly_19.json to tjxjvgb_logs,9,23
transfer okn_15.log to udd_data,9,19
copy zuik_65.csv to fxeedurd1,5,16
