text,start_char,end_char
well lets go to videos please,16,22
lets go to foo-bar now,11,18
so could you please open tmp now,25,28
okay lets go to project please,16,23
so take me to tmp,14,17
hey could you please open aa now,26,28
so switch to my_folder please,13,22
could you please open aa for me,22,24
take me into where now,13,18
so go to pictures quickly,9,17
well open xyz folder please,10,13
well please take me to aa please,23,25
hey open abc_def for me,9,16
okay go ahead and open project for me please,23,30
so lets go to project please,14,21
well open cc quickly,10,12
navigate to logs please,12,16
hey switch to downloads for me,14,23
okay take me into where for me,18,23
so i want to move to aa,21,23
well switch to bb please,15,17
navigate to aa quickly,12,14
well could you please open backup now,27,33
hey go to something quickly,10,19
well could you please open videos for me,27,33
hey could you please open my_folder quickly,26,35
lets go from current to aa now,24,26
hey take me to xyz please,15,18
so could you please open bb quickly,25,27
hey lets go from current to project,28,35
okay please take me to videos now,23,29
well lets go from current to downloads for me,29,38
well go ahead and open there for me quickly,23,28
okay please take me to where,23,28
okay navigate to desktop,17,24
hey switch to bb,14,16
okay lets go to bb,16,18
well go to test123 please,11,18
hey open backup,9,15
well open backup,10,16
okay go to home now,11,15
well please take me to something for me,23,32
okay could you please open aa for me,27,29
hey please take me to logs please,22,26
okay open foo-bar now,10,17
open home folder,5,9
okay i want to move to home now,23,27
well open there for me,10,15
well switch to pictures for me,15,23
hey lets go to data,15,19
so lets go from current to test123 please,27,34
okay navigate to bb quickly,17,19
so navigate to project quickly,15,22
navigate to something please,12,21
okay lets go from current to bb now,29,31
so switch to here,13,17
so go ahead and open foo-bar for me quickly,21,28
so navigate to foo-bar now,15,22
open test123 folder,5,12
hey go ahead and open documents for me,22,31
well please take me to my_folder now,23,32
okay i want to move to xyz,23,26
okay i want to move to here for me,23,27
well take me into aa now,18,20
so go to where quickly,9,14
so could you please open there,25,30
okay switch to xyz,15,18
well switch to data for me,15,19
okay i want to move to my_folder please,23,32
okay switch to data please,15,19
open home folder,5,9
okay open videos now,10,16
well take me into data please,18,22
well navigate to aa quickly,17,19
take me into foo-bar for me,13,20
okay navigate to here,17,21
go to project please,6,13
okay i want to move to xyz,23,26
well take me into cc please,18,20
open xyz quickly,5,8
hey go ahead and open my_folder for me now,22,31
so lets go from current to here quickly,27,31
well go ahead and open something for me,23,32
so could you please open xyz quickly,25,28
well go ahead and open home for me please,23,27
so switch to foo-bar please,13,20
okay navigate to cc now,17,19
lets go to pictures,11,19
well open tmp folder now,10,13
so go to documents now,9,18
well take me to xyz for me,16,19
so take me into cc quickly,16,18
so take me to xyz quickly,14,17
okay navigate to tmp for me,17,20
okay lets go to cc please,16,18
so go ahead and open where for me,21,26
well please take me to here please,23,27
lets go from current to my_folder quickly,24,33
hey take me to bb,15,17
okay open tmp folder for me,10,13
so take me into there quickly,16,21
so switch to data please,13,17
so lets go from current to my_folder,27,36
take me to tmp for me,11,14
