text,src_start,src_end,dst_start,dst_end
"hey rename ""new/hur.json"" as kxitd.json for pine tree state",11,25,29,39
"can you update the epithet of vzjkbj.py to ""old/lwn.json"" for me",30,39,43,57
change ynl.js to qybgrwm.jpg,7,13,17,28
"okay rename ""tmp/uqibyydh.jpg"" to fafp.csv for me",12,30,34,42
"okay could you rename logs/rblckcas.json as ""new/wdakdi.md"" please",22,40,44,59
"please rename ""ogq.log"" as nyjepj.py now",14,23,27,36
"change filename from zze.md to ""logs/qpazf.log"" nowadays",21,27,31,47
o.k. rename mqtqp.jpg as vmrp.csv for me,12,21,25,33
"please change computer filename from src/yamjaz.txt to ""rnh.docx"" please",37,51,55,65
"rename file twapusjm.json into ""qnxtsk.png"" please",12,25,31,43
update the gens of ghzf.png to svpsxn.json,19,27,31,42
please change computer file name from gagn.pdf to fjczxpo.jpg,38,46,50,61
"okay update the gens of ""backup/pzuut.md"" to ""zuevmsv.json"" please",24,41,45,59
can you rename v1/xckzubz.docx as bpwgckzb.log,15,30,34,46
"okeh could you rename raxfzi.pdf as ""mpxpwakm.jpg"" now",22,32,36,50
please could you rename ogbxgw.docx as v1/jpmj.log,24,35,39,50
hey rename yhyhmll.png as bci.png,11,22,26,33
"okay change ""knudbijs.pdf"" to jlevcvz.js now",12,26,30,40
okay i neediness to rename tmp/kibnti.log to new/uvwplh.docx please,27,41,45,60
"change momjoaq.txt to ""jcvwsvry.png"" please",7,18,22,36
"ok rename pfbobil.jpg as ""tczggdv.md"" now",10,21,25,37
"okey alteration filename from data/zvzw.json to ""kfqw.jpg"" please",30,44,48,58
rename qqaav.csv as old/oih.txt at present,7,16,20,31
okey iodine want to rename wng.js to tmp/gcvgm.csv now,27,33,37,50
"can you change tmp/ezndk.txt to ""v1/etd.md"" for maine",15,28,32,43
update the epithet of lrxdya.docx to tmp/xjwssmm.docx please,22,33,37,53
"fanny you could you rename ""v2/uvuhbxcf.txt"" as ""aadyf.jpg"" please",27,44,48,59
"okay rename file v1/jwp.md into ""logs/whm.md"" now",17,26,32,45
"please rename filing cabinet ""v1/lptyfyx.js"" into data/vmswkn.csv please",29,44,50,65
please change filename from wtqw.png to mvzr.jpg now,28,36,40,48
"rename file ""rqr.csv"" into ""oyczxvb.log"" please",12,21,27,40
"rename file aktn.log into ""wqqnndpx.pdf""",12,20,26,40
"please rename file idqbd.txt into ""old/gcihc.docx""",19,28,34,50
"can you could you rename sdoyx.json as ""pwivcwjp.docx"" for me",25,35,39,54
"can you rename ""old/idyvup.docx"" as old/hhpcu.js for me",15,32,36,48
"hey rename file ""upcy.json"" into ""project/rdirpm.md""",16,27,33,52
